Travels Name,Bus Type,Price,Time
MSRTC  - 436159,SEMI LUXURY,270,16:17
MSRTC  - 6043,AC-SHIVNERI,520,16:30
MSRTC  - 470156,AC-SHIVNERI,540,16:30
MSRTC  - 285087,AC-SHIVNERI,520,16:31
MSRTC  - 406781,AC-SHIVNERI,520,16:32
MSRTC  - 365435,SEMI LUXURY,271,16:45
MSRTC  - 17625,AC-SHIVNERI,520,16:45
MSRTC  - 470841,AC-SHIVNERI,540,17:00
MSRTC  - 6044,AC-SHIVNERI,520,17:00
MSRTC  - 271547,AC-SHIVNERI,540,17:00
MSRTC  - 549578,PARIVARTAN ORDINARY EXPRESS,445,17:00
MSRTC  - 179124,AC-SHIVNERI,520,17:01
MSRTC  - 365438,SEMI LUXURY,270,17:15
MSRTC  - 17627,AC-SHIVNERI,520,17:15
MSRTC  - 497968,SEMI LUXURY,270,17:17
MSRTC  - 6045,AC-SHIVNERI,520,17:30
MSRTC  - 470157,AC-SHIVNERI,540,17:30
MSRTC  - 371660,AC-SHIVNERI,520,17:31
MSRTC  - 450711,AC-SHIVNERI,520,17:32
MSRTC  - 17628,AC-SHIVNERI,520,17:45
MSRTC  - 371635,SEMI LUXURY,270,17:45
MSRTC  - 371190,AC-SHIVNERI,560,18:00
MSRTC  - 6046,AC-SHIVNERI,520,18:00
MSRTC  - 470159,AC-SHIVNERI,540,18:00
MSRTC  - 563818,PARIVARTAN ORDINARY EXPRESS,490,18:00
MSRTC  - 472073,AC-SHIVNERI,615,18:00
MSRTC  - 371662,AC-SHIVNERI,441,18:01
MSRTC  - 371637,SEMI LUXURY,270,18:15
MSRTC  - 473985,AC-SHIVNERI,540,18:30
MSRTC  - 471903,AC-SHIVNERI,525,18:30
MSRTC  - 371666,AC-SHIVNERI,441,18:31
MSRTC  - 371638,SEMI LUXURY,231,18:45
MSRTC  - 367606,AC-SHIVNERI,520,18:45
MSRTC  - 371269,AC-SHIVNERI,520,18:45
MSRTC  - 371270,AC-SHIVNERI,520,19:00
MSRTC  - 470854,AC-SHIVNERI,615,19:00
MSRTC  - 473986,AC-SHIVNERI,540,19:00
MSRTC  - 635842,SHIVSHAHI,300,19:00
MSRTC  - 623534,SEMI LUXURY,260,19:00
MSRTC  - 371667,AC-SHIVNERI,520,19:01
MSRTC  - 367601,AC-SHIVNERI,520,19:07
MSRTC  - 371271,AC-SHIVNERI,520,19:15
MSRTC  - 371639,SEMI LUXURY,270,19:15
MSRTC  - 601923,SHIVSHAHI,275,19:25
MSRTC  - 473988,AC-SHIVNERI,540,19:30
MSRTC  - 371272,AC-SHIVNERI,520,19:30
MSRTC  - 371669,AC-SHIVNERI,520,19:31
MSRTC  - 367602,AC-SHIVNERI,520,19:36
MSRTC  - 371641,SEMI LUXURY,231,19:45
MSRTC  - 371273,AC-SHIVNERI,520,19:45
MSRTC  - 473989,AC-SHIVNERI,540,20:00
MSRTC  - 371274,AC-SHIVNERI,520,20:00
MSRTC  - 371671,AC-SHIVNERI,441,20:01
MSRTC  - 367603,AC-SHIVNERI,480,20:06
MSRTC  - 371640,SEMI LUXURY,270,20:15
MSRTC  - 371275,AC-SHIVNERI,520,20:15
MSRTC  - 368372,SEMI LUXURY,270,20:22
MSRTC  - 473991,AC-SHIVNERI,540,20:30
MSRTC  - 471904,AC-SHIVNERI,525,20:30
MSRTC  - 371276,AC-SHIVNERI,520,20:30
MSRTC  - 571619,PARIVARTAN ORDINARY EXPRESS,200,20:30
MSRTC  - 371679,AC-SHIVNERI,520,20:31
MSRTC  - 371277,AC-SHIVNERI,520,20:45
MSRTC  - 473992,AC-SHIVNERI,540,21:00
MSRTC  - 371278,AC-SHIVNERI,520,21:00
